What3Words,Latitude,Longitude,Variety,Mismatches,Matches,Identified,Size,Pomiferous
chairing.starts.vipers,50.734031,-3.671971,No Match,NA,1,No,1,
charities.completed.superhero,50.734058,-3.672141,No Match,NA,1,No,1,
charts.drags.watchdogs,50.73449,-3.672226,No Match,NA,1,No,1,
chatting.perfumed.smarting,50.73546,-3.671119,No Match,NA,1,No,1,
cheered.chuckling.uptown,50.734193,-3.672226,No Match,NA,1,No,1,
cheetahs.alien.huddle,50.76551,-3.764991,No Match,NA,1,No,1,
childcare.enter.blinking,50.767208,-3.767848,Blenheim Orange,1,17,Yes (with mismatch),2,
chimp.achieving.hindering,50.772464,-3.742387,Yarlington Mill,0,18,Yes,4,https://pomiferous.com/applebyname/yarlington-mill-id-6792
chins.covertly.transmit,50.773219,-3.742942,Somerset Redstreak,1,20,Yes (with mismatch),8,
chins.hops.variation,50.767181,-3.767848,Sweet Alford,0,19,Yes,6,https://pomiferous.com/applebyname/sweet-alford-id-7653
cigar.offers.extension,50.767235,-3.768232,Sweet Alford,0,19,Yes,6,https://pomiferous.com/applebyname/sweet-alford-id-7653
clenching.tacky.sensibly,50.735163,-3.671289,No Match,NA,1,No,1,
cloth.covenants.potential,50.772464,-3.742473,No Match,NA,1,No,1,
clown.grinders.potential,50.765591,-3.765161,Kingston Black,1,17,Yes (with mismatch),2,
command.firewall.wiggly,50.734678,-3.67244,Fair Maid of Devon,1,19,Yes (with mismatch),6,
commander.betrayed.locator,50.773111,-3.743283,Somerset Redstreak,1,19,Yes (with mismatch),6,
commander.foot.flaked,50.73484,-3.672056,Bramley,0,17,Yes,2,https://pomiferous.com/applebyname/bramleys-seedling-id-936
comment.armrest.geologist,50.772518,-3.742558,Autumn Pearmain,0,19,Yes,6,https://pomiferous.com/applebyname/autumn-pearmain-id-412
committee.glimmers.icicles,50.765079,-3.764649,No Match,NA,1,No,1,
commuted.secures.object,50.764971,-3.764521,No Match,NA,1,No,1,
compiler.dined.trumpet,50.765295,-3.764436,No Match,NA,1,No,1,
connects.daydreams.crystals,50.734139,-3.671971,Queen Caroline,1,18,Yes (with mismatch),4,
contracts.televise.cosmetic,50.772626,-3.742771,Yarlington Mill,1,20,No,8,https://pomiferous.com/applebyname/yarlington-mill-id-6792
contracts.vibrates.hoping,50.734894,-3.671332,No Match,NA,1,No,1,
conveying.moth.thickens,50.765888,-3.764948,No Match,NA,1,No,1,
corrupted.flames.indicates,50.734705,-3.670991,No Match,NA,1,No,1,
couch.hers.repelled,50.766211,-3.764948,No Match,NA,1,No,1,
cowering.rumbles.airbrush,50.733897,-3.671971,No Match,NA,1,No,1,
cracks.skimmers.harmonica,50.734975,-3.671076,Sweet Alford,0,20,Yes,8,https://pomiferous.com/applebyname/sweet-alford-id-7653
crisis.pixel.attracts,50.76702,-3.768274,No Match,NA,1,No,1,
cropping.vent.translated,50.772356,-3.742558,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
culling.just.tens,50.734058,-3.672269,No Match,NA,1,No,1,
currently.menswear.format,50.772518,-3.743283,Cornish Pine,0,20,Yes,8,https://pomiferous.com/applebyname/cornish-pine-id-1525
curving.veal.dares,50.735406,-3.671119,No Match,NA,1,No,1,
cycle.lobster.recorders,50.767154,-3.767635,No Match,NA,1,No,1,
dawn.roadshow.tank,50.733681,-3.672184,Bulmers Norman,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
decays.congested.notched,50.734975,-3.671161,Michelin,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/michelin-id-7411
decoded.pots.kilt,50.772841,-3.743368,Bulmers Norman,0,21,Yes,10,https://pomiferous.com/applebyname/bulmers-norman-id-6958
defers.patrolled.hiker,50.765079,-3.764692,Sweet Alford,0,20,Yes,8,https://pomiferous.com/applebyname/sweet-alford-id-7653
deflection.suits.starts,50.765888,-3.765204,No Match,NA,1,No,1,
denser.trombone.rocked,50.734813,-3.672354,No Match,NA,1,No,1,
depth.slamming.limo,50.765996,-3.765332,Golden Delicious *,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/golden-delicious-id-2984
detriment.agency.item,50.734894,-3.671204,No Match,NA,1,No,1,
different.hence.deeds,50.734543,-3.672099,Bramley,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bramleys-seedling-id-936
discloses.freedom.bike,50.773165,-3.742814,No Match,NA,1,No,1,
disengage.habits.youth,50.772653,-3.742686,No Match,NA,1,No,1,
disposing.solids.insisting,50.73484,-3.671545,No Match,NA,1,No,1,
dissolve.leaps.modifies,50.733546,-3.67244,No Match,NA,1,No,1,
districts.hidden.torn,50.733735,-3.672269,Michelin,0,20,Yes,8,https://pomiferous.com/applebyname/michelin-id-7411
dives.certified.cooking,50.77241,-3.742515,Ellis Bitter,1,18,Yes (with mismatch),4,
divided.confining.quicksand,50.764918,-3.764649,No Match,NA,1,No,1,
divorcing.canoe.promoting,50.767316,-3.767891,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
doctors.headed.escalated,50.767181,-3.768061,No Match,NA,1,No,1,
dozen.feelers.unsettled,50.772545,-3.742259,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
drag.damp.heartache,50.733816,-3.672013,No Match,NA,1,No,1,
drawn.famed.enter,50.773138,-3.74307,No Match,NA,1,No,1,
drawn.famed.enter repeat,50.773138,-3.74307,No Match,NA,1,No,1,
dumpling.eased.sweeping,50.766265,-3.765247,No Match,NA,1,No,1,
dusted.welcome.gladiator,50.772841,-3.74243,No Match,NA,1,No,1,
duties.cautious.hunches,50.767289,-3.767763,Crimson King / Old English Round,1,18,Yes (with mismatch),4,
educates.heartless.intensely,50.734436,-3.672013,No Match,NA,1,No,1,
embellish.forever.ruled,50.772545,-3.742643,Chisel Jersey,0,17,Yes,2,https://pomiferous.com/applebyname/chisel-jersey-id-7006
emulated.wells.manifests,50.765403,-3.764692,Sweet Alford,1,20,Yes (with mismatch),8,https://pomiferous.com/applebyname/sweet-alford-id-7653
endlessly.myths.teaches,50.766993,-3.767422,No Match,NA,1,No,1,
entry.this.crusaders,50.734543,-3.671843,No Match,NA,1,No,1,
equipping.verges.typist,50.765133,-3.76482,Bulmers Norman,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
establish.entrust.caravan,50.773003,-3.742601,No Match,NA,1,No,1,
euphoric.receiving.connected,50.734651,-3.672397,No Match,NA,1,No,1,
evening.query.galloping,50.772733,-3.743112,No Match,NA,1,No,1,
expectant.ruler.northward,50.733816,-3.672099,No Match,NA,1,No,1,
explain.trembles.spoken,50.766804,-3.76836,No Match,NA,1,No,1,
explores.prancing.positives,50.766103,-3.765119,No Match,NA,1,No,1,
eyelid.spits.education,50.764971,-3.764692,No Match,NA,1,No,1,
factually.motorist.spouting,50.734921,-3.67163,Idared,1,16,Yes (with mismatch),2,
fairness.reveal.rainwater,50.76613,-3.765076,No Match,NA,1,No,1,
fanfare.thud.fencing,50.773084,-3.743027,Yarlington Mill,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/yarlington-mill-id-6792
feared.asterisk.thinking,50.765861,-3.764948,No Match,NA,1,No,1,
files.saints.processor,50.734867,-3.671076,Michelin,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/michelin-id-7411
finer.energy.nagging,50.735082,-3.67146,Chisel Jersey,0,19,Yes,6,https://pomiferous.com/applebyname/chisel-jersey-id-7006
fishnet.atoms.keyboard,50.767047,-3.768104,No Match,NA,1,No,1,
flaked.physics.surfacing,50.77303,-3.74307,No Match,NA,1,No,1,
flasks.ferried.bundles,50.772518,-3.743155,Yarlington Mill,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/yarlington-mill-id-6792
flick.upholding.electrode,50.772895,-3.743795,Bramley,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/bramleys-seedling-id-936
fluctuate.calendars.recorders,50.733546,-3.671928,No Match,NA,1,No,1,
fluid.clustered.twin,50.767208,-3.768019,No Match,NA,1,No,1,
forehand.cackling.proof,50.734274,-3.672099,No Match,NA,1,No,1,
forgotten.marching.fight,50.77241,-3.742217,No Match,NA,1,No,1,
furnish.sharpens.tops,50.733654,-3.672397,Sweet Alford,0,21,Yes,10,https://pomiferous.com/applebyname/sweet-alford-id-7653
fussy.pose.brushing,50.772976,-3.742942,No Match,NA,1,No,1,
fuzz.ruler.choice,50.765888,-3.764905,No Match,NA,1,No,1,
germinate.walked.butterfly,50.734274,-3.672141,No Match,NA,1,No,1,
globe.whizzed.outgrown,50.773192,-3.74307,Yarlington Mill,0,20,Yes,8,https://pomiferous.com/applebyname/yarlington-mill-id-6792
gloom.amplifier.tonal,50.765268,-3.764521,No Match,NA,1,No,1,
goats.negotiators.jubilant,50.734732,-3.672397,Bramley,1,20,Yes (with mismatch),8,https://pomiferous.com/applebyname/bramleys-seedling-id-936
gobbling.stupidly.digress,50.734894,-3.671502,Bulmers Norman,0,20,Yes,8,https://pomiferous.com/applebyname/bulmers-norman-id-6958
goose.october.strides,50.767128,-3.767379,No Match,NA,1,No,1,
grows.hockey.tickling,50.772437,-3.74243,No Match,NA,1,No,1,
grub.customers.marker,50.766858,-3.768189,No Match,NA,1,No,1,
grunt.adding.records,50.772545,-3.742515,No Match,NA,1,No,1,
guideline.festivity.healthier,50.734948,-3.671289,No Match,NA,1,No,1,
gurgled.distorts.contracts,50.772626,-3.743027,Yarlington Mill,0,19,Yes,6,https://pomiferous.com/applebyname/yarlington-mill-id-6792
haggle.spellings.divisions,50.765996,-3.765119,No Match,NA,1,No,1,
handsets.markets.mainland,50.735298,-3.671076,No Match,NA,1,No,1,
happy.brink.liability,50.734786,-3.672226,Somerset Redstreak,1,20,Yes (with mismatch),8,
harmonica.excusing.congratulations,50.734759,-3.672013,Bramley,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/bramleys-seedling-id-936
headboard.prance.reported,50.76702,-3.768104,No Match,NA,1,No,1,
heap.aimed.gazes,50.734759,-3.672184,Sweet Alford,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/sweet-alford-id-7653
heaven.stubble.baths,50.735109,-3.671374,No Match,NA,1,No,1,
height.elastic.buckling,50.735082,-3.671502,Bulmers Norman,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/bulmers-norman-id-6958
helps.fewer.swoop,50.773084,-3.742899,No Match,NA,1,No,1,
holds.sheepish.power,50.772949,-3.742942,No Match,NA,1,No,1,
hotspot.dumplings.clustered,50.772733,-3.742729,Ellisons Orange,1,17,Yes (with mismatch),2,
hound.retain.tablets,50.766157,-3.765033,No Match,NA,1,No,1,
hourglass.expressed.atoms,50.77303,-3.743539,Chisel Jersey,0,19,Yes,6,https://pomiferous.com/applebyname/chisel-jersey-id-7006
huddle.cling.cherubs,50.733681,-3.672141,Ashton Bitter,1,17,Yes (with mismatch),2,
humans.intestine.noble,50.765834,-3.765033,No Match,NA,1,No,1,
hurry.heartened.suits,50.772572,-3.742515,No Match,NA,1,No,1,
ignore.munch.dumpling,50.733708,-3.672184,No Match,NA,1,No,1,
importers.resold.emerald,50.734301,-3.672184,No Match,NA,1,No,1,
incisions.grape.aunts,50.734894,-3.671758,Bramley,0,20,Yes,8,https://pomiferous.com/applebyname/bramleys-seedling-id-936
inclined.prepare.woodstove,50.765942,-3.765374,Golden Delicious *,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/golden-delicious-id-2984
inflation.multiples.maple,50.735379,-3.671076,No Match,NA,1,No,1,
installs.enrolling.tablet,50.765106,-3.764735,Sweet Alford,0,20,Yes,8,https://pomiferous.com/applebyname/sweet-alford-id-7653
instructs.card.angel,50.73484,-3.672269,Bramley,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/bramleys-seedling-id-936
insurers.premature.release,50.764971,-3.764436,Sweet Coppin,1,17,Yes (with mismatch),2,
internal.gratuity.expecting,50.734247,-3.672141,No Match,NA,1,No,1,
ivory.dodging.overhead,50.76675,-3.768445,No Match,NA,1,No,1,
jacket.positives.taps,50.734516,-3.671971,No Match,NA,1,No,1,
jokers.chipper.hopefully,50.772733,-3.743709,No Match,NA,1,No,1,
judges.angry.doctors,50.733977,-3.672312,No Match,NA,1,No,1,
kick.satellite.flats,50.765996,-3.765417,Howgate Wonder,0,19,Yes,6,
king.gripes.sandpaper,50.767154,-3.767464,No Match,NA,1,No,1,
kingdom.inflation.snoring,50.767154,-3.767422,No Match,NA,1,No,1,
lamps.chugging.streamers,50.734732,-3.672056,No Match,NA,1,No,1,
landscape.stolen.stoops,50.773165,-3.743368,Sweet Alford,0,20,Yes,8,https://pomiferous.com/applebyname/sweet-alford-id-7653
lasted.flips.ratty,50.734597,-3.672141,No Match,NA,1,No,1,
laugh.line.touched,50.734004,-3.672184,Sweet Alford,0,17,Yes,2,https://pomiferous.com/applebyname/sweet-alford-id-7653
leads.cubs.youths,50.767074,-3.767507,Egremont Russet,1,19,Yes (with mismatch),6,
leaps.dustbin.stretch,50.772356,-3.742643,No Match,NA,1,No,1,
lectured.organisms.formal,50.733924,-3.672184,No Match,NA,1,No,1,
lecturers.stocky.narrating,50.773192,-3.742771,No Match,NA,1,No,1,
lifetimes.adjuster.mysteries,50.767074,-3.767379,Bulmers Norman,0,19,Yes,6,https://pomiferous.com/applebyname/bulmers-norman-id-6958
lightly.quoted.think,50.733977,-3.672099,No Match,NA,1,No,1,
like.belts.denoting,50.773245,-3.743198,Bulmers Norman,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
limitless.juggle.costly,50.765025,-3.764692,Sweet Alford,0,19,Yes,6,https://pomiferous.com/applebyname/sweet-alford-id-7653
louder.graphics.relations,50.733897,-3.671843,No Match,NA,1,No,1,
makeovers.goats.hurls,50.772545,-3.743198,Yarlington Mill,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/yarlington-mill-id-6792
mammoths.engage.blotchy,50.733897,-3.672056,No Match,NA,1,No,1,
mandolin.overnight.mulls,50.735109,-3.671502,Chisel Jersey,0,21,Yes,10,https://pomiferous.com/applebyname/chisel-jersey-id-7006
marker.thighs.mavericks,50.766939,-3.768061,No Match,NA,1,No,1,
meal.remit.users,50.766939,-3.768274,No Match,NA,1,No,1,
meals.faced.earplugs,50.734382,-3.671843,No Match,NA,1,No,1,
merchant.whirlpool.beast,50.772599,-3.742174,No Match,NA,1,No,1,
mercy.wires.nags,50.772814,-3.742814,No Match,NA,1,No,1,
migrants.watchdogs.apple,50.734894,-3.671289,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
mute.shameless.fantastic,50.733762,-3.672269,Ponsford,1,20,Yes (with mismatch),8,
nasal.ironic.shields,50.772976,-3.742984,No Match,NA,1,No,1,
neatly.blueberry.comforted,50.765106,-3.764308,Crimson King / Old English Round,1,16,Yes (with mismatch),2,
nips.apartment.spacing,50.766292,-3.764991,No Match,NA,1,No,1,
nips.basic.shrub,50.772518,-3.742601,Chisel Jersey,0,18,Yes,4,https://pomiferous.com/applebyname/chisel-jersey-id-7006
nitrogen.outlawing.served,50.73484,-3.67146,Bulmers Norman,0,18,Yes,4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
noble.blotting.gems,50.773272,-3.742984,Ellis Bitter,1,19,Yes (with mismatch),6,
nooks.slumped.given,50.766939,-3.767848,Bulmers Norman,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
nutrients.climbing.gilding,50.735056,-3.67146,No Match,NA,1,No,1,
octagonal.fuse.baker,50.734975,-3.671289,No Match,NA,1,No,1,
october.essay.pepper,50.76613,-3.765332,Jonagold,1,18,Yes (with mismatch),4,
online.rudder.puncture,50.772464,-3.742686,Autumn Pearmain,0,20,Yes,8,https://pomiferous.com/applebyname/autumn-pearmain-id-412
operating.meatball.guideline,50.766454,-3.765374,Northwood,1,18,Yes (with mismatch),4,
outcasts.sugar.dares,50.772922,-3.743752,Beauty of Bath,1,18,Yes (with mismatch),4,
outlawing.useful.bypasses,50.734624,-3.672397,No Match,NA,1,No,1,
outline.daredevil.blanking,50.772976,-3.743624,No Match,NA,1,No,1,
outnumber.wasp.daring,50.73449,-3.672099,No Match,NA,1,No,1,
outreach.unwind.overruns,50.73422,-3.671886,No Match,NA,1,No,1,
owners.visitors.ghost,50.734301,-3.672056,Sweet Alford,0,18,Yes,4,https://pomiferous.com/applebyname/sweet-alford-id-7653
packing.dizziness.length,50.734597,-3.672226,No Match,NA,1,No,1,
painters.code.footballers,50.767074,-3.768274,Harry Masters Jersey,1,18,Yes (with mismatch),4,
park.residual.requiring,50.772545,-3.742771,No Match,NA,1,No,1,
parked.milkman.gone,50.765969,-3.765247,Jupiter,1,16,Yes (with mismatch),2,
parts.simulator.pronouns,50.76675,-3.768189,No Match,NA,1,No,1,
pats.nearing.deriving,50.765699,-3.765332,Chisel Jersey,0,17,Yes,2,https://pomiferous.com/applebyname/chisel-jersey-id-7006
pillow.fidgeting.verb,50.772841,-3.743795,Adams Pearmain,1,17,Yes (with mismatch),2,
pizza.though.answer,50.734975,-3.67146,Ponsford,1,17,Yes (with mismatch),2,
pizzeria.promotion.ratty,50.77241,-3.742899,Chisel Jersey,0,21,Yes,10,https://pomiferous.com/applebyname/chisel-jersey-id-7006
playful.seeing.heeding,50.735029,-3.671204,Michelin,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/michelin-id-7411
policy.assure.whizzing,50.766804,-3.768445,Sweet Alford,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/sweet-alford-id-7653
polite.tune.differ,50.766319,-3.764948,No Match,NA,1,No,1,
poodle.bossy.whiplash,50.733762,-3.671971,No Match,NA,1,No,1,
popping.lungs.butternut,50.76702,-3.768019,Flanders Pippin,1,18,Yes (with mismatch),4,
posed.crust.flinches,50.734085,-3.672269,No Match,NA,1,No,1,
practical.cracks.gloom,50.772949,-3.742601,No Match,NA,1,No,1,
prance.danger.lighters,50.734328,-3.671928,No Match,NA,1,No,1,
prestige.corrupted.bride,50.734624,-3.671928,No Match,NA,1,No,1,
princely.sleep.salutes,50.772949,-3.743411,No Match,NA,1,No,1,
prompts.grief.arrived,50.734166,-3.672056,No Match,NA,1,No,1,
proposals.junior.down,50.735325,-3.671204,No Match,NA,1,No,1,
providing.pleasing.mailing,50.734948,-3.671161,Bulmers Norman,1,20,Yes (with mismatch),8,https://pomiferous.com/applebyname/bulmers-norman-id-6958
prowess.link.gratitude,50.767101,-3.767592,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
prude.describes.violin,50.765214,-3.764735,No Match,NA,1,No,1,
purely.salad.standards,50.734894,-3.671417,No Match,NA,1,No,1,
push.leathers.confronts,50.765322,-3.764521,No Match,NA,1,No,1,
putter.majoring.swept,50.765403,-3.764649,No Match,NA,1,No,1,
putty.engraving.midfield,50.765564,-3.765204,Sweet Alford,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/sweet-alford-id-7653
quail.shallower.reverses,50.766292,-3.765247,Scrumptious,1,20,Yes (with mismatch),8,
races.condition.clubs,50.773057,-3.742984,Yarlington Mill,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/yarlington-mill-id-6792
rainbow.thinker.destroyer,50.767047,-3.768061,Sweet Alford,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/sweet-alford-id-7653
ranking.graced.heckler,50.767181,-3.767549,No Match,NA,1,No,1,
rattler.zinc.coverings,50.767154,-3.767933,No Match,NA,1,No,1,
ratty.investors.rhino,50.766049,-3.765289,No Match,NA,1,No,1,
really.detained.gambles,50.73484,-3.671758,Sweet Alford,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/sweet-alford-id-7653
rebirth.stand.worlds,50.765753,-3.765076,Chisel Jersey,0,19,Yes,6,https://pomiferous.com/applebyname/chisel-jersey-id-7006
recline.streetcar.beard,50.765241,-3.764649,No Match,NA,1,No,1,
reds.taken.apes,50.734193,-3.672269,No Match,NA,1,No,1,
reject.housework.scanning,50.767154,-3.767549,No Match,NA,1,No,1,
rejected.briefing.clattered,50.77276,-3.743624,No Match,NA,1,No,1,
reliving.backhand.nipped,50.772814,-3.743496,Yarlington Mill,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/yarlington-mill-id-6792
remind.ramble.overheard,50.772572,-3.742302,No Match,NA,1,No,1,
removable.parked.defends,50.734516,-3.672099,Bulmers Norman,0,19,Yes,6,https://pomiferous.com/applebyname/bulmers-norman-id-6958
rents.flood.duet,50.735109,-3.671204,Chisel Jersey,1,16,Yes,2,https://pomiferous.com/applebyname/chisel-jersey-id-7006
restrict.rejoins.boggles,50.733977,-3.672013,No Match,NA,1,No,1,
ribcage.wonderful.research,50.734436,-3.672226,No Match,NA,1,No,1,
ringers.imposes.deflate,50.734139,-3.671886,No Match,NA,1,No,1,
rings.unguarded.punt,50.772787,-3.743411,Chisel Jersey,0,20,Yes,8,https://pomiferous.com/applebyname/chisel-jersey-id-7006
ringside.creatures.intelligible,50.772922,-3.742814,Worcester Pearmain,0,18,Yes,4,https://pomiferous.com/applebyname/worcester-pearmain-id-6776
ringside.thuds.composes,50.766993,-3.767379,No Match,NA,1,No,1,
riverside.hardly.halt,50.734382,-3.672354,No Match,NA,1,No,1,
rocked.pushover.indicates,50.772356,-3.742771,Beauty of Bath,0,17,Yes,2,
rubble.agreed.cemented,50.765322,-3.764863,No Match,NA,1,No,1,
runners.renovated.blocks,50.734732,-3.672226,Bramley,0,21,Yes,10,https://pomiferous.com/applebyname/bramleys-seedling-id-936
sandals.straddled.released,50.773084,-3.742643,No Match,NA,1,No,1,
sank.endearing.taxi,50.767235,-3.767805,Scrumptious,1,16,Yes (with mismatch),2,
scale.arrives.tiredness,50.772599,-3.743027,No Match,NA,1,No,1,
science.digested.coupler,50.765484,-3.76482,Elstar,0,19,Yes,6,
season.sparrows.storming,50.734894,-3.672056,Ashton Bitter,1,18,Yes (with mismatch),4,
seeing.topic.blushed,50.734813,-3.672141,No Match,NA,1,No,1,
sensitive.answer.plausible,50.73449,-3.672354,No Match,NA,1,No,1,
sentences.unwind.shifts,50.767181,-3.768189,No Match,NA,1,No,1,
settled.resources.trick,50.76702,-3.767507,Bulmers Norman,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/bulmers-norman-id-6958
shame.amber.headlines,50.766966,-3.768147,No Match,NA,1,No,1,
sharpens.heartened.crystal,50.766346,-3.764905,No Match,NA,1,No,1,
shaver.oppose.wildfires,50.766831,-3.76836,No Match,NA,1,No,1,
shorthand.stiff.spoon,50.734085,-3.672099,No Match,NA,1,No,1,
shrugging.scuba.inflates,50.733789,-3.672141,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
shudders.chugging.pinches,50.772356,-3.743027,No Match,NA,1,No,1,
siblings.gong.smoke,50.764891,-3.764521,No Match,NA,1,No,1,
sifts.long.firewall,50.772491,-3.743198,No Match,NA,1,No,1,
situation.tolls.soil,50.734867,-3.671545,Crimson Newton,0,19,Yes,6,
skidding.firm.pining,50.772518,-3.74307,No Match,NA,1,No,1,
skim.grumbles.subsets,50.766049,-3.764991,No Match,NA,1,No,1,
